syndrome_name,feature,n_disease,n_healthy,disease_mean,healthy_mean,disease_median,healthy_median,mean_difference,hedges_g,abs_hedges_g,mann_whitney_u,p_value,global_fdr_q_value,global_significant_fdr,within_disease_fdr_q_value,bootstrap_direction_stability,hedges_g_bootstrap_ci_lower,hedges_g_bootstrap_ci_upper,hedges_g_bootstrap_ci_width,pds_effect_component,pds_sample_reliability,pds_ci_precision,pds_reliability_component,pds_q_multiplier,pds_small_sample_multiplier,pds_normalized,pds_signed,pds_absolute,pds_category,pds_within_disease_percentile
3-Methylglutaconic aciduria,inter_canthal_distance,9,1000,0.22275351744686825,0.2519521798745515,0.2199091483531475,0.2509773840301761,-0.029198662427683236,-1.8601162562284719,1.8601162562284719,524.0,4.930323069394516e-06,0.00012867998626865453,True,0.00021462772162583364,1.0,-2.2663534566067596,-1.397814398020408,0.8685390585863515,0.7306209961644756,0.11307956328284252,0.5351774668047629,0.6620642575219013,1.0,0.6,-0.29023082841332726,-29.023082841332727,29.023082841332727,weak,100.0
3-Methylglutaconic aciduria,eb_inter_distance,9,1000,0.1728682348582764,0.19508790491641834,0.1695950482574138,0.1946657550211888,-0.022219670058141933,-1.816717664110085,1.816717664110085,532.0,5.1510653190200075e-06,0.00013265185572707773,True,0.00021462772162583364,1.0,-2.2453884716421015,-1.3736776060709572,0.8717108655711443,0.7203436128857627,0.11307956328284252,0.5342705534248499,0.6618375291769231,1.0,0.6,-0.28605026214641466,-28.605026214641466,28.605026214641466,weak,99.2
3-Methylglutaconic aciduria,philtrum_width,9,1000,0.27687243134509115,0.30083607043358984,0.2769879010716198,0.29853820694786065,-0.02396363908849869,-1.5381534274871929,1.5381534274871929,492.0,4.134619934852887e-06,0.00011123977454713027,True,0.00021462772162583364,1.0,-1.885807282260055,-1.2317511812124013,0.6540561010476535,0.6463922551239281,0.11307956328284252,0.6045744152006788,0.6794134946208803,1.0,0.6,-0.2635005725697717,-26.350057256977173,26.350057256977173,weak,98.4
3-Methylglutaconic aciduria,hairline_height,9,1000,0.216697512117278,0.18424466493119035,0.2062411099799764,0.18577311847948408,0.03245284718608765,1.6298509370003411,1.6298509370003411,7726.0,0.0002105555417165521,0.0026727999065583132,True,0.002752104356735989,1.0,0.9907208240595301,2.3647635842741677,1.3740427602146377,0.6722984352338458,0.11307956328284252,0.4212224045659522,0.6335754919621986,1.0,0.6,0.2555710871092201,25.557108710922012,25.557108710922012,weak,97.6
3-Methylglutaconic aciduria,forehead_height,9,1000,0.216697512117278,0.18424466493119035,0.2062411099799764,0.18577311847948408,0.03245284718608765,1.6298509370003411,1.6298509370003411,7726.0,0.0002105555417165521,0.0026727999065583132,True,0.002752104356735989,1.0,0.9290197867267921,2.387663463163259,1.4586436764364672,0.6722984352338458,0.11307956328284252,0.40672831512103846,0.6299519696009702,1.0,0.6,0.2541094340611269,25.41094340611269,25.41094340611269,weak,96.8
3-Methylglutaconic aciduria,chin_pointedness_angle,9,1000,158.9953164431903,151.7238655812974,157.1602344445786,151.76310289603077,7.271450861892902,1.484350020782975,1.484350020782975,7989.0,6.118783601545789e-05,0.001008466186180695,True,0.0019121198754830592,1.0,1.0267514021433986,2.0054563526573603,0.9787049505139618,0.6304574534818776,0.11307956328284252,0.5053810573123868,0.6546151551488073,1.0,0.6,0.24762420223545678,24.76242022354568,24.76242022354568,weak,96.0
3-Methylglutaconic aciduria,outer_canthal_distance,9,1000,0.6047937192344096,0.6468154240267493,0.5999866564050419,0.645148017692251,-0.04202170479233969,-1.3966895085168183,1.3966895085168183,1107.0,9.703794243048287e-05,0.0014593404657507563,True,0.0024259485607620716,1.0,-1.8100600354056007,-0.9374284567308152,0.8726315786747855,0.6033160759764915,0.11307956328284252,0.534007869667388,0.6617718582375576,1.0,0.6,-0.23955456042213255,-23.955456042213257,23.955456042213257,weak,95.19999999999999
3-Methylglutaconic aciduria,nose_bridge_width,9,1000,0.07451904518176646,0.07926453812946986,0.0736365412603742,0.07903582389870514,-0.004745492947703406,-1.4193656796606529,1.4193656796606529,1635.0,0.0009975206455446182,0.008860213318709682,True,0.007793130043317329,1.0,-2.1219494008295205,-0.6234388825497678,1.498510518279753,0.6104779114612902,0.11307956328284252,0.400238459147456,0.6283295056075746,1.0,0.6,-0.23014877057569028,-23.014877057569027,23.014877057569027,weak,94.39999999999999
3-Methylglutaconic aciduria,canthal_to_pupillary_ratio,9,1000,0.5163529323733188,0.5538799842751869,0.5130777944946419,0.5521935516504053,-0.037527051901868114,-1.249401490674167,1.249401490674167,1182.0,0.00013800953200044841,0.0019237479767244504,True,0.002752104356735989,1.0,-1.5141771566404971,-0.9009603638612995,0.6132167927791976,0.5543924783012658,0.11307956328284252,0.6198794882845426,0.6832397628918463,1.0,0.6,-0.22726979125414792,-22.726979125414793,22.726979125414793,weak,93.60000000000001
3-Methylglutaconic aciduria,mouth_triangularity,9,1000,0.057853577931095974,0.17089787428614908,0.0478052203669329,0.1632606737885594,-0.11304429635505311,-1.1558455255090394,1.1558455255090394,1305.0,0.00024218518339276702,0.0029738522795193525,True,0.002752104356735989,1.0,-1.425463522688499,-0.8529709980562794,0.5724925246322197,0.5211540115753833,0.11307956328284252,0.6359330708003739,0.6872531585208042,1.0,0.6,-0.21489884431858194,-21.489884431858194,21.489884431858194,weak,92.80000000000001
3-Methylglutaconic aciduria,mouth_corner_drop,9,1000,0.03410892524570099,0.1483709581883194,0.0211333906153589,0.13974648162131753,-0.11426203294261841,-1.1544508642891227,1.1544508642891227,1284.0,0.000220308089059694,0.0027670646240915563,True,0.002752104356735989,1.0,-1.419516027465708,-0.8503563786574492,0.5691596488082588,0.5206458924311287,0.11307956328284252,0.6372837848331605,0.6875908370290007,1.0,0.6,-0.2147948069834585,-21.479480698345853,21.479480698345853,weak,92.0
3-Methylglutaconic aciduria,mouth_tenting,9,1000,0.20832180948907564,0.5595484461368959,0.1682097098835431,0.54605831501186,-0.3512266366478203,-1.1539484224612016,1.1539484224612016,1408.0,0.00038225483782438745,0.004264311928599961,True,0.003981821227337369,1.0,-1.4747408786924627,-0.8297647215595862,0.6449761571328765,0.520462746558158,0.11307956328284252,0.6079115467198974,0.680247777500685,1.0,0.6,-0.2124261759708536,-21.24261759708536,21.24261759708536,weak,91.2
3-Methylglutaconic aciduria,eb_position_l,9,1000,0.2702056807208083,0.3580177983836356,0.2777351495448972,0.3520780657669819,-0.08781211766282732,-1.1562204863072725,1.1562204863072725,1483.0,0.0005285216108893729,0.005451833955627514,True,0.005081938566243971,1.0,-1.5945952934927754,-0.7852091326925448,0.8093861608002306,0.5212905586730776,0.11307956328284252,0.5526736202943731,0.6664382958943039,1.0,0.6,-0.2084447949527253,-20.84447949527253,20.84447949527253,weak,90.4
3-Methylglutaconic aciduria,eb_position_mean,9,1000,0.27165763022879785,0.35626492779510327,0.2781360229253333,0.3511348077900591,-0.08460729756630542,-1.1328426594783318,1.1328426594783318,1515.0,0.0006055829999687399,0.006043606974346025,True,0.005406991071149463,1.0,-1.541198086598617,-0.7614438456150827,0.7797542409835343,0.5127262404648447,0.11307956328284252,0.5618753291731876,0.6687387231140075,1.0,0.6,-0.2057279348133035,-20.57279348133035,20.57279348133035,weak,89.60000000000001
3-Methylglutaconic aciduria,eb_position_r,9,1000,0.27310957973678734,0.3545120572065709,0.2839130014911091,0.34891253184659166,-0.08140247746978357,-1.08358161146669,1.08358161146669,1608.0,0.0008929552082749114,0.008150825123457241,True,0.007441293402290929,1.0,-1.5263438658058346,-0.7086432016754352,0.8177006641303994,0.4943423429603125,0.11307956328284252,0.5501455876280966,0.6658062877277348,1.0,0.6,-0.1974817441398218,-19.74817441398218,19.74817441398218,minimal,88.8
3MC syndrome,eb_thickness_mean,18,1000,0.019641294191582562,0.0152559541162161,0.01991162754700645,0.0152106626423683,0.004385340075366463,2.5030408063033955,2.5030408063033955,16981.0,1.0820607419676613e-10,1.1094862446442612e-08,True,1.3525759274595767e-08,1.0,1.9794427263763323,3.030893225796593,1.0514504994202605,0.8487094341149173,0.21337213893344653,0.48745997053431206,0.6752080273669396,1.0,0.8,0.458444338253156,45.8444338253156,45.8444338253156,moderate,100.0
3MC syndrome,eb_thickness_r,18,1000,0.02007766981194266,0.015113197863621343,0.0205854537306394,0.014768934739781001,0.004964471948321315,1.9548512004743812,1.9548512004743812,16276.0,3.985849286493718e-09,2.687428685590461e-07,True,9.964623216234296e-08,1.0,1.4770812297102887,2.424829830770485,0.9477486010601965,0.7519493061943272,0.21337213893344653,0.5134132810854959,0.6816963550047357,1.0,0.8,0.4100808809448102,41.008088094481025,41.008088094481025,moderate,99.2
3MC syndrome,eb_lateral_thickness_mean,18,1000,0.0011043623987607944,0.0009386259300776203,0.0011012915599123,0.0009351555121066501,0.00016573646868317407,1.9794353113481757,1.9794353113481757,16390.0,2.2730051013507676e-09,1.628803977618505e-07,True,9.964623216234296e-08,1.0,1.5026313156705082,2.538396857058941,1.0357655413884326,0.7572419061971595,0.21337213893344653,0.49121570223552374,0.6761469602922426,1.0,0.8,0.4096054504648904,40.96054504648904,40.96054504648904,moderate,98.4
3MC syndrome,eb_position_r,18,1000,0.48597423474598944,0.3545120572065709,0.5009062961209072,0.34891253184659166,0.13146217753941852,1.7509729927230449,1.7509729927230449,16325.0,3.1341462946218905e-09,2.1724222758671983e-07,True,9.964623216234296e-08,1.0,1.3599563997897968,2.1199871020661627,0.7600307022763659,0.7041509655303355,0.21337213893344653,0.5681719067210775,0.695386011413631,1.0,0.8,0.3917253850825577,39.17253850825577,39.17253850825577,weak,97.6
3MC syndrome,eb_position_mean,18,1000,0.4843759638377626,0.35626492779510327,0.49480137369786037,0.3511348077900591,0.12811103604265933,1.7169916433325734,1.7169916433325734,16297.0,3.596323908232297e-09,2.462098675635957e-07,True,9.964623216234296e-08,1.0,1.3361534271299318,2.1049877209168946,0.7688342937869628,0.6954818701141936,0.21337213893344653,0.5653440819824128,0.6946790552289649,1.0,0.8,0.3865093507678414,38.65093507678414,38.65093507678414,weak,96.8
3MC syndrome,inter_pupillary_distance,18,1000,0.5001432272648401,0.45531156938611694,0.5030606884044359,0.4547212161925265,0.04483165787872312,1.8280054517127047,1.8280054517127047,14583.0,6.319781110996985e-06,0.00015711187678176864,True,6.076712606727871e-05,1.0,1.1237886533532908,2.6100141367486773,1.4862254833953865,0.72304789576948,0.21337213893344653,0.4022161331217315,0.6538970680137945,1.0,0.8,0.3782391192617654,37.82391192617654,37.82391192617654,weak,96.0
3MC syndrome,eb_position_l,18,1000,0.48277769292953593,0.3580177983836356,0.4898231672894941,0.3520780657669819,0.12475989454590031,1.6448854675159639,1.6448854675159639,16151.0,7.308675913995535e-09,4.510337829772894e-07,True,1.5226408154157364e-07,1.0,1.285915795875577,2.0126881484437305,0.7267723525681535,0.6763972161435157,0.21337213893344653,0.5791151326419741,0.6981218178938552,1.0,0.8,0.37776612332196324,37.77661233219632,37.77661233219632,weak,95.19999999999999
3MC syndrome,eb_arch_mean,18,1000,0.16339852061421778,0.1316948731848392,0.16501929317216174,0.1314444849302622,0.03170364742937859,1.6791926891406876,1.6791926891406876,16063.0,1.1133185691155518e-08,6.510207138717747e-07,True,1.9880688734206282e-07,1.0,1.2527587028850378,2.1263598539003925,0.8736011510153547,0.6855952005086371,0.21337213893344653,0.533731525227807,0.6867759160403134,1.0,0.8,0.3766802174897293,37.66802174897293,37.66802174897293,weak,94.39999999999999
3MC syndrome,eb_inter_distance,18,1000,0.21688846386964994,0.19508790491641834,0.22107026772596444,0.1946657550211888,0.021800558953231602,1.7581933985889395,1.7581933985889395,14774.0,3.0136308112481814e-06,8.503904318360435e-05,True,3.139198761716855e-05,1.0,1.0369984591952628,2.4947207830294493,1.4577223238341865,0.7059665034441914,0.21337213893344653,0.40688078970611424,0.6550632321598903,1.0,0.8,0.3699621596342147,36.99621596342147,36.99621596342147,weak,93.60000000000001
3MC syndrome,eb_arch_l,18,1000,0.16332616497626912,0.13072699816085015,0.1630012217591873,0.13010265490090483,0.03259916681541897,1.5020001568222785,1.5020001568222785,15483.0,1.576763819599483e-07,6.757854419846733e-06,True,1.9709547744993538e-06,1.0,1.0551733560410925,1.9719076757601306,0.9167343197190381,0.6357452060361837,0.21337213893344653,0.5217207151310275,0.6837732135161185,1.0,0.8,0.3477644340070626,34.776443400706256,34.776443400706256,weak,92.80000000000001
3MC syndrome,lip_outer_to_inner_area,18,1000,23.534943664298915,8.123251510745607,15.907921210397419,4.020330095717232,15.411692153553307,1.6148219485731834,1.6148219485731834,14420.0,1.167575410039256e-05,0.0002593964340826106,True,0.00010424780446779072,1.0,0.7302378280992255,2.588584464667,1.8583466365677745,0.6681595494096904,0.21337213893344653,0.3498525991237973,0.6408061845143109,1.0,0.8,0.3425286172032199,34.252861720321995,34.252861720321995,weak,92.0
3MC syndrome,eb_thickness_l,18,1000,0.019204918571222467,0.015398710368810858,0.01933334527884435,0.0152226928634884,0.0038062082024116085,1.4421661375053232,1.4421661375053232,15608.0,9.068272730219725e-08,4.194783123646339e-06,True,1.2594823236416286e-06,1.0,1.0558658201251867,1.8505179170688388,0.7946520969436521,0.6175797322647398,0.21337213893344653,0.5572110615216347,0.6926458001137703,1.0,0.8,0.34221120623084705,34.22112062308471,34.22112062308471,weak,91.2
3MC syndrome,inter_canthal_distance,18,1000,0.2762573029932261,0.2519521798745515,0.27841981787326375,0.2509773840301761,0.02430512311867461,1.527697415552755,1.527697415552755,14215.0,2.467607787386669e-05,0.0004820392736554292,True,0.00017069070465613683,1.0,0.8488098251013458,2.157640471835347,1.3088306467340012,0.643338337609165,0.21337213893344653,0.4331196839467496,0.661622955720049,1.0,0.8,0.3405179299655989,34.05179299655989,34.05179299655989,weak,90.4
3MC syndrome,forehead_width_mid,18,1000,0.9131615888636601,0.8719852701363383,0.9163613622164952,0.870912628564855,0.04117631872732175,1.5325885575330007,1.5325885575330007,14332.0,1.615084082541252e-05,0.00033901529091078165,True,0.0001261784439485353,1.0,0.7656056762282962,2.2530503479557553,1.487444671727459,0.6447694708684115,0.21337213893344653,0.402018992167383,0.6538477827752074,1.0,0.8,0.33726487114276366,33.72648711427637,33.72648711427637,weak,89.60000000000001
3MC syndrome,forehead_width_upper,18,1000,0.7742758469487288,0.7337617508872641,0.7811379210185929,0.7333062338376494,0.04051409606146461,1.4999412131859755,1.4999412131859755,14201.0,2.5944987107732797e-05,0.0005024159818512225,True,0.00017069070465613683,1.0,0.8151220919470127,2.182736267118628,1.367614175171615,0.6351314163704286,0.21337213893344653,0.4223661145834775,0.6589345633792311,1.0,0.8,0.3348080340275848,33.48080340275848,33.48080340275848,weak,88.8
ACHONDROPLASIA; ACH,hairline_height,7,1000,0.21290497836113015,0.18424466493119035,0.2174194471526585,0.18577311847948408,0.0286603134299398,1.4401206142866194,1.4401206142866194,5867.0,0.0020276218389854517,0.015282718806716226,True,0.12672636493659073,1.0,0.6265090572675319,2.186479661530886,1.5599706042633539,0.616946657113616,0.08911018025438788,0.39062948548495374,0.6199349164348354,0.8,0.6,0.1835840516747907,18.35840516747907,18.35840516747907,minimal,100.0
ACHONDROPLASIA; ACH,forehead_height,7,1000,0.21290497836113015,0.18424466493119035,0.2174194471526585,0.18577311847948408,0.0286603134299398,1.4401206142866194,1.4401206142866194,5867.0,0.0020276218389854517,0.015282718806716226,True,0.12672636493659073,1.0,0.6209581869051488,2.2033296429780154,1.5823714560728666,0.616946657113616,0.08911018025438788,0.38724095933152347,0.6190877848964779,0.8,0.6,0.18333318688884256,18.333318688884255,18.333318688884255,minimal,99.2
ACHONDROPLASIA; ACH,face_width_uniformity,7,1000,0.7820709520355187,0.7638778545748036,0.7864159281974696,0.7632645864506937,0.01819309746071507,1.2623884003735273,1.2623884003735273,5738.0,0.00352366567281397,0.02297818324153307,True,0.1468194030339154,1.0,0.5225311240762768,1.8856461311331585,1.3631150070568818,0.5588739671797415,0.08911018025438788,0.4231702634081445,0.6280701109156331,0.8,0.6,0.16848577658613126,16.848577658613127,16.848577658613127,minimal,98.4
