syndrome_name,feature,group_1,group_2,n_healthy_group_1,n_healthy_group_2,n_disease_group_1,n_disease_group_2,evidence_level,healthy_mean_group_1,healthy_mean_group_2,disease_mean_group_1,disease_mean_group_2,raw_disease_effect_group_1,raw_disease_effect_group_2,hedges_g_group_1,hedges_g_group_2,delta_hedges_g_group2_minus_group1,abs_delta_hedges_g,interaction_beta_group2_minus_group1,interaction_standard_error,interaction_ci_lower,interaction_ci_upper,interaction_ci_excludes_zero,interaction_p_value,same_effect_direction,direction_reversal,within_syndrome_fdr_q_value,within_syndrome_significant_fdr,global_fdr_q_value,global_significant_fdr,high_priority_interaction,high_confidence_interaction
WILLIAMS-BEUREN SYNDROME; WBS,eye_fissure_length_r,East Asian,South Asian,143,143,11,49,moderate,0.18705060668819942,0.20802639338455028,0.18571833643334357,0.2246255254109561,-0.0013322702548558552,0.01659913202640581,-0.10657968776771606,1.091620642176094,1.19820032994381,1.19820032994381,0.017931402281261454,0.004448301079687869,0.009212892372682593,0.026649912189840315,True,5.552407384844015e-05,False,True,0.002750013091550102,True,0.0026454404750253188,True,True,True
SOTOS SYNDROME; SOTOS,cheek_area_mean,African,South Asian,143,143,11,10,moderate,0.007368010271282393,0.007307813240935543,0.004534953643535482,0.00908042411655272,-0.0028330566277469105,0.0017726108756171777,-1.0853712692471729,0.8512194599168055,1.9365907291639783,1.9365907291639783,0.004605667503364072,0.001142805098627922,0.0023658106687046002,0.006845524338023544,True,5.574302719929302e-05,False,True,0.002060921780255552,True,0.0026539493398649644,True,True,True
SAETHRE-CHOTZEN SYNDROME; SCS,nose_ala_height_l,South Asian,European,143,143,15,15,moderate,0.063781996950874,0.06474729765497579,0.07159755786202213,0.06402014341907455,0.007815560911148128,-0.0007271542359012367,1.4945965544598117,-0.12382638463901369,-1.6184229390988254,1.6184229390988254,-0.008542715147049275,0.002121245535189673,-0.012700279998387427,-0.004385150295711124,True,5.644104362521744e-05,False,True,0.002645673919932068,True,0.0026770233726268965,True,True,True
SOTOS SYNDROME; SOTOS,eb_thickness_mean,South Asian,European,143,143,10,64,moderate,0.015098469052907851,0.014982672375763902,0.019225866138370108,0.01647926158086499,0.004127397085462257,0.0014965892051010884,2.422496408869322,0.7927454539653799,-1.6297509549039422,1.6297509549039422,-0.002630807880361137,0.0006569501664258362,-0.003918406546193371,-0.0013432092145289035,True,6.212841076251437e-05,True,False,0.002265098309050003,True,0.002908706342480459,True,True,True
Hyperphosphatasia with mental retardation syndrome,eb_position_l,African,European,143,143,27,27,primary,0.37164749987602547,0.3648818860374633,0.3988812652163843,0.32193821340401924,0.027233765340358818,-0.04294367263344406,0.3668477397470702,-0.5287338812696158,-0.895581621016686,0.895581621016686,-0.07017743797380305,0.017536685440025623,-0.10454870984446121,-0.035806166103144875,True,6.287560740591132e-05,False,True,0.009465188231162517,True,0.002935959915056015,True,True,True
SOTOS SYNDROME; SOTOS,inter_canthal_distance,South Asian,European,143,143,10,64,moderate,0.24920834512173665,0.25195082398911633,0.2655536101974809,0.2520019884245113,0.01634526507574427,5.116443539499027e-05,1.1374724506872813,0.003232301035461657,-1.1342401496518197,1.1342401496518197,-0.016294100640348766,0.004076748061975989,-0.02428438001586517,-0.008303821264832362,True,6.419426134450732e-05,True,False,0.002308355288073037,True,0.0029871002713385397,True,True,True
Noonan syndrome,eye_epicanthus_angle_mean,East Asian,South Asian,143,143,10,17,moderate,61.8371163390709,63.58229904076153,79.67786484035724,64.03391579586986,17.840748501286342,0.45161675510833277,1.1703550401377198,0.036958562908358236,-1.1333964772293617,1.1333964772293617,-17.389131746177927,4.360931752420578,-25.936400919959404,-8.841862572396451,True,6.677859944911185e-05,True,False,0.005477931986059957,True,0.003083187602841906,True,True,True
WILLIAMS-BEUREN SYNDROME; WBS,outer_canthal_distance,Latino/Hispanic,European,143,143,40,77,primary,0.6414415173286283,0.6418143240654428,0.6676393074086473,0.6420661255728686,0.02619779008001899,0.000251801507425764,0.9297586695224193,0.008771988672968327,-0.9209866808494509,0.9209866808494509,-0.02594598857259331,0.006507113535929277,-0.038699696746327776,-0.013192280398858844,True,6.682193663953941e-05,True,False,0.003248288586644277,True,0.003083187602841906,True,True,True
Rubinstein-Taybi syndrome,eye_fissure_slant_l,East Asian,European,143,143,15,55,moderate,5.611624582088377,3.5707035560206872,4.125023738356057,5.012842922988904,-1.4866008437323197,1.4421393669682168,-0.5196499410364269,0.4993448516940815,1.0189947927305085,1.0189947927305085,2.9287402107005214,0.7346006056255513,1.488949480653129,4.368530940747914,True,6.69571768556779e-05,False,True,0.01464219783916859,True,0.0030872611348252608,True,True,True
Cornelia de Lange syndrome,iris_offset_y_l,African,Latino/Hispanic,143,143,22,71,primary,-0.04825534768493581,-0.05538219705105777,-0.026780603652841184,-0.06430523955352238,0.02147474403209463,-0.00892304250246461,0.7464176028698899,-0.33390266384076994,-1.0803202667106597,1.0803202667106597,-0.030397786534559344,0.007659054507364001,-0.04540925752462195,-0.015386315544496737,True,7.221446544559587e-05,False,True,0.005119210428788131,True,0.0032900672325159724,True,True,True
