feature,kruskal_H,p_value,number_of_groups,group_sample_sizes,group_means,group_medians,fdr_q_value,significant_fdr
eb_position_mean,7.654152783540052,0.05372713320857735,4,Asian:571|African:143|Others:143|European:143,Asian:0.352792|African:0.369842|Others:0.348912|European:0.363909,Asian:0.350095|African:0.367274|Others:0.343208|European:0.351279,0.07462101834524633,False
eb_position_asym,11.901041270881873,0.007729954510041937,4,Asian:571|African:143|Others:143|European:143,Asian:0.0481075|African:0.0484409|Others:0.0501477|European:0.0599342,Asian:0.0377029|African:0.0397116|Others:0.0399157|European:0.0515964,0.014209475202282973,True
eb_medial_flare_r,11.774060559966617,0.008198603112561481,4,Asian:571|African:143|Others:143|European:143,Asian:-0.0841153|African:-0.099973|Others:-0.0888702|European:-0.0758571,Asian:-0.0840596|African:-0.0952766|Others:-0.0931403|European:-0.0796897,0.014640362701002644,True
eb_medial_flare_l,13.60740835394765,0.0034912977719139607,4,Asian:571|African:143|Others:143|European:143,Asian:-0.087207|African:-0.0984246|Others:-0.0916322|European:-0.0758063,Asian:-0.0863165|African:-0.102123|Others:-0.0895066|European:-0.0741392,0.007273537024820751,True
eb_lateral_thickness_r,0.5508709690750684,0.9075812811737085,4,Asian:571|African:143|Others:143|European:143,Asian:0.000922906|African:0.000928279|Others:0.000918064|European:0.000914974,Asian:0.000903341|African:0.000919349|Others:0.000903839|European:0.000850848,0.9149004850541417,False
eb_lateral_thickness_l,0.9592545078471761,0.8111097808303803,4,Asian:571|African:143|Others:143|European:143,Asian:0.000948776|African:0.000971511|Others:0.000974354|European:0.000946813,Asian:0.000921013|African:0.000932907|Others:0.000936735|European:0.000937241,0.8449060216983129,False
eb_medial_flare_mean,14.401481614664078,0.002406610226132275,4,Asian:571|African:143|Others:143|European:143,Asian:-0.0856611|African:-0.0991988|Others:-0.0902512|European:-0.0758317,Asian:-0.085806|African:-0.099054|Others:-0.0913595|European:-0.0774876,0.00546956869575517,True
eb_lateral_thickness_mean,4.716240992532783,0.19379423289666406,4,Asian:571|African:143|Others:143|European:143,Asian:0.000935841|African:0.000949895|Others:0.000946209|European:0.000930894,Asian:0.000935406|African:0.000936073|Others:0.000934579|European:0.000931239,0.23292576069310586,False
eb_lateral_thickness_asym,7.6992280187689275,0.052654454695656626,4,Asian:571|African:143|Others:143|European:143,Asian:0.396915|African:0.480068|Others:0.405267|European:0.409386,Asian:0.32508|African:0.423716|Others:0.279795|European:0.372294,0.0739528858085065,False
eye_fissure_length_r,44.33956980481541,1.2782140258444467e-09,4,Asian:571|African:143|Others:143|European:143,Asian:0.196594|African:0.206011|Others:0.196724|European:0.194547,Asian:0.195452|African:0.204847|Others:0.197738|European:0.192758,7.98883766152779e-09,True
eye_fissure_height_r,16.300108666010324,0.0009841223945176718,4,Asian:571|African:143|Others:143|European:143,Asian:0.066788|African:0.0713444|Others:0.0670476|European:0.0604961,Asian:0.0696309|African:0.0748302|Others:0.0704222|European:0.06472,0.002674245637276282,True
eye_fissure_length_l,51.7049964471972,3.4616036010081915e-11,4,Asian:571|African:143|Others:143|European:143,Asian:0.197554|African:0.208|Others:0.198184|European:0.196525,Asian:0.196747|African:0.206145|Others:0.196346|European:0.194903,2.5452967654471993e-10,True
eye_fissure_height_l,15.754593859168859,0.0012732068364521866,4,Asian:571|African:143|Others:143|European:143,Asian:0.0659208|African:0.0699826|Others:0.0665258|European:0.0599753,Asian:0.0683264|African:0.0732014|Others:0.0684032|European:0.063904,0.003120604991304379,True
eye_fissure_length_mean,80.00163772348223,3.066795834746371e-17,4,Asian:571|African:143|Others:143|European:143,Asian:0.197074|African:0.207006|Others:0.197454|European:0.195536,Asian:0.196693|African:0.207146|Others:0.197986|European:0.194603,4.2594386593699604e-16,True
eye_fissure_height_mean,16.117364741408128,0.0010728537252525292,4,Asian:571|African:143|Others:143|European:143,Asian:0.0663544|African:0.0706635|Others:0.0667867|European:0.0602357,Asian:0.0690404|African:0.0741153|Others:0.069149|European:0.063676,0.002793889909511795,True
eye_fissure_length_asym,8.47204941548936,0.03719970840709793,4,Asian:571|African:143|Others:143|European:143,Asian:0.0725232|African:0.0883545|Others:0.0725997|European:0.0776754,Asian:0.059642|African:0.081483|Others:0.0518259|European:0.0669235,0.05602365723960531,False
eye_fissure_height_asym,16.615886093285702,0.0008476435107454652,4,Asian:571|African:143|Others:143|European:143,Asian:0.0637089|African:0.0582944|Others:0.0556706|European:0.110476,Asian:0.0349192|African:0.0411688|Others:0.033437|European:0.05508,0.0024080781555268897,True
eye_fissure_slant_r,25.721731625693486,1.090640371330326e-05,4,Asian:571|African:143|Others:143|European:143,Asian:4.74171|African:4.51936|Others:4.74429|European:3.27965,Asian:4.92405|African:4.48567|Others:4.78817|European:3.51389,4.0097072475379626e-05,True
eye_fissure_slant_l,28.743116405424217,2.53576185101188e-06,4,Asian:571|African:143|Others:143|European:143,Asian:4.98029|African:4.80877|Others:5.12147|European:3.5707,Asian:5.21953|African:4.72764|Others:5.33199|European:3.6292,1.0610431127036606e-05,True
eye_fissure_slant_mean,28.734377338713234,2.5465034704887852e-06,4,Asian:571|African:143|Others:143|European:143,Asian:4.861|African:4.66407|Others:4.93288|European:3.42518,Asian:5.12646|African:4.66269|Others:5.16323|European:3.59241,1.0610431127036606e-05,True
eye_fissure_slant_asym,2.5409273477857868,0.4679399799994458,4,Asian:571|African:143|Others:143|European:143,Asian:1.34511|African:1.49927|Others:1.35857|European:1.43356,Asian:1.06951|African:1.22713|Others:1.14493|European:1.25797,0.5086304130428758,False
eye_fissure_aspect_r,8.166979222843233,0.042683903765181025,4,Asian:571|African:143|Others:143|European:143,Asian:0.338952|African:0.344993|Others:0.339665|European:0.310435,Asian:0.354171|African:0.35188|Others:0.35245|European:0.32963,0.06351771393628128,False
eye_fissure_aspect_l,9.060988490145956,0.028490905498700186,4,Asian:571|African:143|Others:143|European:143,Asian:0.331851|African:0.335269|Others:0.3354|European:0.303278,Asian:0.347208|African:0.353039|Others:0.345266|European:0.323682,0.04625146996542238,True
