feature,kruskal_H,p_value,number_of_groups,group_sample_sizes,group_means,group_medians,fdr_q_value,significant_fdr
iris_offset_x_r,27.34342731862824,4.987787133018406e-06,4,Asian:571|African:143|Others:143|European:143,Asian:-0.000782702|African:-0.024049|Others:-0.0198657|European:-0.0170593,Asian:-0.00415072|African:-0.0338163|Others:-0.0168225|European:-0.0121613,1.9483543488353148e-05,True
iris_offset_y_r,14.92797860413465,0.0018792420763069553,4,Asian:571|African:143|Others:143|European:143,Asian:-0.0571826|African:-0.0513394|Others:-0.0577694|European:-0.048078,Asian:-0.0590148|African:-0.0529206|Others:-0.058971|European:-0.0530711,0.004350097398858692,True
iris_offset_x_l,11.343870030692516,0.010004607508606399,4,Asian:571|African:143|Others:143|European:143,Asian:0.013437|African:0.030602|Others:0.0162357|European:0.0234731,Asian:0.0107798|African:0.0316462|Others:0.0193497|European:0.0239681,0.01736911025799722,True
iris_offset_y_l,15.516674027532197,0.0014243491051980453,4,Asian:571|African:143|Others:143|European:143,Asian:-0.0549651|African:-0.0482553|Others:-0.0553822|European:-0.0463687,Asian:-0.0579726|African:-0.0507099|Others:-0.0574157|European:-0.0516531,0.0034239161182645322,True
gaze_asym_x,66.57863636921992,2.3047422430792687e-14,4,Asian:571|African:143|Others:143|European:143,Asian:-0.0142197|African:-0.054651|Others:-0.0361014|European:-0.0405324,Asian:-0.0216798|African:-0.0610604|Others:-0.033432|European:-0.0445474,2.400773169874238e-13,True
gaze_asym_y,2.896906904052197,0.4077947356856234,4,Asian:571|African:143|Others:143|European:143,Asian:-0.00221746|African:-0.0030841|Others:-0.00238719|European:-0.00170932,Asian:-0.00116813|African:-0.00213285|Others:-0.00207979|European:-0.00105645,0.4511003713336542,False
gaze_asym_norm,19.305008493475647,0.00023643335011924407,4,Asian:571|African:143|Others:143|European:143,Asian:0.0535647|African:0.0667827|Others:0.0501957|European:0.0591257,Asian:0.0475752|African:0.0656004|Others:0.0432069|European:0.0547019,0.0007208333845098904,True
nose_length,8.647397028985608,0.03436554950945971,4,Asian:571|African:143|Others:143|European:143,Asian:0.302034|African:0.299096|Others:0.303329|European:0.297747,Asian:0.303185|African:0.301295|Others:0.304547|European:0.300285,0.052386508398566636,False
nose_bridge_length,4.332180059591665,0.2277568564740022,4,Asian:571|African:143|Others:143|European:143,Asian:0.871401|African:0.871981|Others:0.873384|European:0.864237,Asian:0.876987|African:0.876856|Others:0.881087|European:0.868698,0.2636074727708359,False
nose_bridge_width,107.62601638482776,3.5578416098498475e-23,4,Asian:571|African:143|Others:143|European:143,Asian:0.078891|African:0.0821296|Others:0.0786228|European:0.0785328,Asian:0.0788183|African:0.082259|Others:0.0785105|European:0.078454,2.2236510061561546e-21,True
nose_tip_width,141.30797927411805,1.974362948437679e-30,4,Asian:571|African:143|Others:143|European:143,Asian:0.266241|African:0.29035|Others:0.268402|European:0.262277,Asian:0.265401|African:0.287525|Others:0.267569|European:0.261973,2.467953685547099e-28,True
nose_base_width,105.56978517832073,9.853243104684069e-23,4,Asian:571|African:143|Others:143|European:143,Asian:0.233724|African:0.255951|Others:0.237551|European:0.229835,Asian:0.230736|African:0.253475|Others:0.235163|European:0.226804,4.105517960285028e-21,True
nose_tip_to_bridge_ratio,92.17427809463477,7.472949411857924e-20,4,Asian:571|African:143|Others:143|European:143,Asian:3.37267|African:3.53386|Others:3.41236|European:3.33899,Asian:3.34913|African:3.5101|Others:3.39309|European:3.32573,1.5568644608037341e-18,True
nose_tip_midline_dent,6.888485487229342,0.07553834461117483,4,Asian:571|African:143|Others:143|European:143,Asian:0.0407652|African:0.0408054|Others:0.0415812|European:0.0404743,Asian:0.0407164|African:0.0405438|Others:0.0413776|European:0.0406322,0.09734322759172014,False
nose_ala_height_r,8.94042203083046,0.030093585671858006,4,Asian:571|African:143|Others:143|European:143,Asian:0.0645045|African:0.0658163|Others:0.0643103|European:0.0647205,Asian:0.0643718|African:0.0654049|Others:0.0634502|European:0.0641487,0.04761643302509178,True
nose_ala_height_l,5.969342619720051,0.11311133713236293,4,Asian:571|African:143|Others:143|European:143,Asian:0.064534|African:0.0658749|Others:0.0646241|European:0.0647473,Asian:0.0644228|African:0.0654367|Others:0.0637167|European:0.0649015,0.13998927862916202,False
nose_ala_height_mean,7.402285465683734,0.06012303290761726,4,Asian:571|African:143|Others:143|European:143,Asian:0.0645192|African:0.0658456|Others:0.0644672|European:0.0647339,Asian:0.0643994|African:0.0653666|Others:0.0636416|European:0.0642735,0.08168890340708866,False
nose_ala_height_asym,3.305547956508815,0.3468712186363587,4,Asian:571|African:143|Others:143|European:143,Asian:0.0149663|African:0.0129717|Others:0.0138726|European:0.0145258,Asian:0.0118212|African:0.00965639|Others:0.0106289|European:0.0115505,0.38888780960597097,False
nostril_region_area,63.904363236902874,8.603841195976554e-14,4,Asian:571|African:143|Others:143|European:143,Asian:0.0150379|African:0.0169427|Others:0.0156719|European:0.0152075,Asian:0.014766|African:0.0165644|Others:0.0155425|European:0.014888,7.682001067836209e-13,True
nasolabial_angle,7.712559741756408,0.05234120197935391,4,Asian:571|African:143|Others:143|European:143,Asian:168.209|African:165.509|Others:168.079|European:167.514,Asian:170.415|African:168.182|Others:171.35|European:169.448,0.0739528858085065,False
nose_tip_elevation,4.539604705382893,0.20878472600389367,4,Asian:571|African:143|Others:143|European:143,Asian:0.0427823|African:0.0437218|Others:0.0426368|European:0.0447111,Asian:0.0416086|African:0.0420775|Others:0.0399692|European:0.0440743,0.2462084033064784,False
