group_1,group_2,feature,n_group_1,n_group_2,mean_group_1,mean_group_2,median_group_1,median_group_2,mann_whitney_u,p_value,hedges_g,abs_hedges_g,effect_category,direction,within_pair_fdr_q_value,within_pair_significant_fdr
Asian,African,eb_thickness_r,571,143,0.015009269436622856,0.015940585540225302,0.0145807880538866,0.0159172043261539,32711.0,0.00023406911293975143,-0.3777948194488882,0.3777948194488882,small,higher_in_African,0.0008866254278020887,True
Asian,African,eb_thickness_l,571,143,0.015256490881157166,0.016237195008806715,0.0150571906238103,0.0160776889059464,32394.0,0.00013194139771477358,-0.37283224905570067,0.37283224905570067,small,higher_in_African,0.0005320217649789257,True
Asian,African,eb_thickness_mean,571,143,0.015132880158890012,0.016088890274516005,0.0151619467144803,0.0161602160658627,28176.0,9.744547713614262e-09,-0.5640752998347109,0.5640752998347109,medium,higher_in_African,4.87227385680713e-08,True
Asian,African,eb_thickness_asym,571,143,0.18753771253456064,0.22670926993956783,0.1537765482085053,0.2228573350233231,35203.0,0.010794151331618554,-0.27912775573929827,0.27912775573929827,small,higher_in_African,0.023671384499163495,True
Asian,African,eb_inter_distance,571,143,0.19393098064644232,0.202216591542269,0.1940452409944149,0.2019535043943998,25462.0,3.2710138936028534e-12,-0.7029115540906705,0.7029115540906705,medium,higher_in_African,2.7258449113357113e-11,True
Asian,African,eb_arch_r,571,143,0.13153365241771256,0.1392981529363101,0.1308134262877024,0.1335111111681216,33783.0,0.0014076541281333032,-0.3450334243178312,0.3450334243178312,small,higher_in_African,0.004291628439430802,True
Asian,African,eb_arch_l,571,143,0.1300323948634269,0.1352582773263664,0.1283632829654562,0.1358745990560405,34641.0,0.0050459367127203315,-0.24219775614692304,0.24219775614692304,small,higher_in_African,0.013140460189375864,True
Asian,African,eb_arch_mean,571,143,0.13078302364056973,0.13727821513133825,0.1309961167650302,0.1377326553671315,32754.0,0.00025261560325349233,-0.3464355722038119,0.3464355722038119,small,higher_in_African,0.0009287338354907806,True
Asian,African,eb_position_r,571,143,0.35098420387110935,0.3680374827925917,0.3478511345320235,0.3659139973699252,35471.0,0.01519112289767752,-0.2324319073675598,0.2324319073675598,small,higher_in_African,0.03218458241033373,True
Asian,African,eb_position_l,571,143,0.354599415539764,0.37164749987602547,0.3546534154062461,0.3688441568750882,35649.0,0.018920650142761022,-0.22989873742129427,0.22989873742129427,small,higher_in_African,0.038771824063034886,True
Asian,African,eb_position_mean,571,143,0.35279180970543667,0.3698424913343086,0.3500951851453064,0.3672744948593647,35518.0,0.016106998315438232,-0.23376581910377417,0.23376581910377417,small,higher_in_African,0.033556246490496315,True
Asian,African,eb_medial_flare_r,571,143,-0.08411528109522569,-0.09997296045384078,-0.0840595569819175,-0.0952766035651795,46451.0,0.010780125664661319,0.2895682038383477,0.2895682038383477,small,higher_in_Asian,0.023671384499163495,True
Asian,African,eb_medial_flare_l,571,143,-0.08720698428600528,-0.09842459774723625,-0.0863165053854253,-0.1021231795890565,45914.0,0.021094575041297883,0.2207434464907341,0.2207434464907341,small,higher_in_Asian,0.04120034187753493,True
Asian,African,eb_medial_flare_mean,571,143,-0.08566113269061548,-0.09919877910053851,-0.0858060091438707,-0.0990539770990209,46524.0,0.00979900513925852,0.27003090516767725,0.27003090516767725,small,higher_in_Asian,0.022270466225587544,True
Asian,African,eb_lateral_thickness_asym,571,143,0.3969148568795186,0.48006811069082983,0.3250797081080608,0.4237160248523413,34844.0,0.006686797926454033,-0.2760541966284551,0.2760541966284551,small,higher_in_African,0.016389210604054003,True
Asian,African,eye_fissure_length_r,571,143,0.19659443077274896,0.2060107187495451,0.1954520368336376,0.2048474567903742,27645.0,2.2888632597725724e-09,-0.5939596862481075,0.5939596862481075,medium,higher_in_African,1.4305395373578577e-08,True
Asian,African,eye_fissure_length_l,571,143,0.19755431524952602,0.2080004320587738,0.1967472021855503,0.2061453158517504,26096.0,2.4202101304138626e-11,-0.6410091977966688,0.6410091977966688,medium,higher_in_African,1.7795662723631343e-10,True
Asian,African,eye_fissure_length_mean,571,143,0.1970743730111375,0.20700557540415943,0.1966931453065879,0.207146283294597,22897.0,4.3481241341556066e-16,-0.7656645079832831,0.7656645079832831,medium,higher_in_African,6.039061297438343e-15,True
Asian,African,eye_fissure_length_asym,571,143,0.07252318569714847,0.08835453004568043,0.0596419719758627,0.0814830236421404,34878.0,0.0070043354227606386,-0.2821596540943364,0.2821596540943364,small,higher_in_African,0.016837344766251535,True
Asian,African,inter_canthal_distance,571,143,0.25163929559387865,0.2566756033080781,0.2504446717786783,0.2571841358989558,33018.0,0.0004002723417222388,-0.32323512117277325,0.32323512117277325,small,higher_in_African,0.0013898345198688849,True
Asian,African,inter_pupillary_distance,571,143,0.45115779551624374,0.4748534279778442,0.4514462939257583,0.4769160217448054,19455.0,3.3597716116561813e-22,-1.0222926194671553,1.0222926194671553,large,higher_in_African,2.0998572572851133e-20,True
Asian,African,outer_canthal_distance,571,143,0.6438965685059362,0.6688454411923601,0.642568563273616,0.6670191278333124,21597.0,2.8358408422119423e-18,-0.8528911513728026,0.8528911513728026,large,higher_in_African,5.778528729413068e-17,True
Asian,African,canthal_to_pupillary_ratio,571,143,0.5584819048083773,0.5404602553469873,0.5589087353803793,0.5380942161134635,53856.0,3.4851412224098318e-09,0.5745717128404564,0.5745717128404564,medium,higher_in_Asian,1.980193876369223e-08,True
Asian,African,eye_area_r,571,143,0.008917269440804235,0.009957925140518433,0.0090085433948127,0.010397462991973,33581.0,0.0010210641211165809,-0.32376624854139485,0.32376624854139485,small,higher_in_African,0.003272641413835195,True
Asian,African,eye_area_l,571,143,0.00890669392361415,0.009880358856408507,0.0090184981022471,0.0103250015269337,33724.0,0.0012826853829367591,-0.2982890003670484,0.2982890003670484,small,higher_in_African,0.004008391821677372,True
Asian,African,eye_area_mean,571,143,0.008911981682209191,0.00991914199846347,0.0089516145102561,0.0102475282480606,33475.0,0.0008600311599563724,-0.31493853923296955,0.31493853923296955,small,higher_in_African,0.0028290498682775407,True
Asian,African,eye_area_asym,571,143,0.09409080909676507,0.10480362163932161,0.0672563621497296,0.0904253763302922,34233.0,0.0027983626566105224,-0.11242743194457543,0.11242743194457543,negligible,higher_in_African,0.007604246349485116,True
Asian,African,iris_offset_x_r,571,143,-0.0007827015555519909,-0.02404900418584835,-0.0041507158603479,-0.0338163328368048,51059.0,3.503187605532389e-06,0.3337830315074796,0.3337830315074796,small,higher_in_Asian,1.5639230381841023e-05,True
Asian,African,iris_offset_y_r,571,143,-0.057182589841717674,-0.05133944615821677,-0.0590147612098291,-0.0529205540815317,34799.0,0.006286440950962958,-0.21868391898875225,0.21868391898875225,small,higher_in_African,0.015716102377407393,True
Asian,African,iris_offset_x_l,571,143,0.013437015322196206,0.030602013027945223,0.0107798341472779,0.0316461740178528,33850.0,0.0015631264110397434,-0.2522083661550902,0.2522083661550902,small,higher_in_African,0.004543972125115534,True
Asian,African,iris_offset_y_l,571,143,-0.054965128888237846,-0.04825534768493581,-0.0579726279541556,-0.0507099106765795,33814.0,0.0014777259464488508,-0.23829571158756924,0.23829571158756924,small,higher_in_African,0.004397993888240627,True
Asian,African,gaze_asym_x,571,143,-0.014219716877748192,-0.054651017213793576,-0.0216797783160591,-0.0610603960864527,56553.0,1.006033244209556e-12,0.6700611826889282,0.6700611826889282,medium,higher_in_Asian,8.982439680442464e-12,True
Asian,African,gaze_asym_norm,571,143,0.053564737334142576,0.06678268819316735,0.0475752001358117,0.0656004182166978,32361.0,0.00012415793918658322,-0.3672055596690276,0.3672055596690276,small,higher_in_African,0.0005173247466107634,True
Asian,African,nose_bridge_width,571,143,0.07889098859439284,0.08212955030080693,0.0788182505880368,0.0822589732137699,19705.0,1.0126365835291928e-21,-1.029239867096903,1.029239867096903,large,higher_in_African,3.609356644408581e-20,True
Asian,African,nose_tip_width,571,143,0.2662407729131519,0.290349699248848,0.2654009478985833,0.2875249890876222,16452.0,2.182088099305817e-28,-1.1718559159892057,1.1718559159892057,large,higher_in_African,2.727610124132271e-26,True
Asian,African,nose_base_width,571,143,0.23372432074890218,0.25595115681484953,0.2307356157272671,0.2534748256719546,19735.0,1.154994126210746e-21,-0.9777307214027545,0.9777307214027545,large,higher_in_African,3.609356644408581e-20,True
Asian,African,nose_tip_to_bridge_ratio,571,143,3.372666649163573,3.533859926909581,3.3491345608029466,3.5101041428990887,21599.0,2.8586351856016632e-18,-0.8605562823232178,0.8605562823232178,large,higher_in_African,5.778528729413068e-17,True
Asian,African,nose_ala_height_r,571,143,0.06450447244428027,0.0658163150025177,0.0643717696174992,0.0654049109624751,34986.0,0.008104758454624845,-0.2517567919191591,0.2517567919191591,small,higher_in_African,0.018761014941261214,True
Asian,African,nose_ala_height_l,571,143,0.06453398184065272,0.06587485814951095,0.0644228084335553,0.0654367358786045,35736.0,0.021018746270005582,-0.24563709418629706,0.24563709418629706,small,higher_in_African,0.04120034187753493,True
Asian,African,nose_ala_height_mean,571,143,0.0645192271424665,0.06584558657601433,0.0643993550071771,0.0653665950345765,35306.0,0.012328611927896154,-0.25037597938469297,0.25037597938469297,small,higher_in_African,0.0265702843273624,True
Asian,African,nostril_region_area,571,143,0.0150379122629207,0.016942657299799446,0.0147659571469213,0.0165643858283105,23686.0,7.802736867320899e-15,-0.7602006583761611,0.7602006583761611,medium,higher_in_African,8.866746440137386e-14,True
Asian,African,nasolabial_angle,571,143,168.2088095134845,165.50905871433793,170.41485865576175,168.18188251329602,46717.0,0.007577387218374955,0.28915352759456675,0.28915352759456675,small,higher_in_Asian,0.017871196269752254,True
Asian,African,nose_to_face_area_ratio,571,143,0.037046628377128,0.04020159935314416,0.0366283266797438,0.0404840932826711,28010.0,6.233287378338776e-09,-0.5786843133818899,0.5786843133818899,medium,higher_in_African,3.246503842884779e-08,True
Asian,African,philtrum_width,571,143,0.30145370808513594,0.305792406933083,0.2990375407981622,0.3045568246885312,32672.0,0.00021836017338659842,-0.27417641406459026,0.27417641406459026,small,higher_in_African,0.0008529694272914,True
Asian,African,mouth_width,571,143,0.3625543824697565,0.3951857855336863,0.3551434140529143,0.3850515756851527,27671.0,2.4603495210826434e-09,-0.5507007423467263,0.5507007423467263,medium,higher_in_African,1.4644937625491924e-08,True
Asian,African,mouth_opening,571,143,0.13257914310987598,0.16960867166173393,0.1189906155309714,0.1641542207290649,33909.0,0.001712969414657012,-0.28069835724703535,0.28069835724703535,small,higher_in_African,0.00486639038254833,True
Asian,African,lip_outer_to_inner_area,571,143,8.531638670169158,7.514409079434168,4.2839465303661415,3.3247265850692003,45987.0,0.019315600194727753,0.10736819853173067,0.10736819853173067,negligible,higher_in_Asian,0.03894274232808015,True
Asian,African,lip_midline_x_std,571,143,0.0027832413119679407,0.004123836461133385,0.0021332421430593,0.0027905433951096,32153.0,8.42181459867261e-05,-0.4260035299860453,0.4260035299860453,small,higher_in_African,0.00036300924994278486,True
Asian,African,chin_height,571,143,0.1779864639577506,0.1549721520789479,0.1771422126844082,0.1553245860711904,54891.0,1.8155969687484803e-10,0.6532548319478421,0.6532548319478421,medium,higher_in_Asian,1.2608312282975558e-09,True
Asian,African,chin_width,571,143,0.3250316686316231,0.33061863145276854,0.3219077537755619,0.3283756229408838,33067.0,0.0004353220629162146,-0.2805164690419375,0.2805164690419375,small,higher_in_African,0.0014706826449872115,True
Asian,African,chin_pointedness_angle,571,143,152.16271721096103,149.1143404864694,152.31174391115584,149.5341632923766,54321.0,9.49000870070556e-10,0.6347209645562024,0.6347209645562024,medium,higher_in_Asian,6.243426776779974e-09,True
Asian,African,jaw_bigonial_width,571,143,0.7935979777142503,0.7866825774858778,0.793579218475487,0.7843303131577489,47675.0,0.0019049138965258662,0.26945008486311006,0.26945008486311006,small,higher_in_Asian,0.0052914274903496285,True
Asian,African,forehead_width_upper,571,143,0.7310278839525115,0.754050694943354,0.7323700238919978,0.7562203642706645,21630.0,3.2359760884713184e-18,-0.9117073233316119,0.9117073233316119,large,higher_in_African,5.778528729413068e-17,True
Asian,African,forehead_width_mid,571,143,0.8691903359902237,0.8915401790904378,0.869976057561198,0.8921050152139562,21770.0,5.651034826510432e-18,-0.8879678121920483,0.8879678121920483,large,higher_in_African,8.82974191642255e-17,True
