group_1,group_2,feature,n_group_1,n_group_2,mean_group_1,mean_group_2,median_group_1,median_group_2,mann_whitney_u,p_value,hedges_g,abs_hedges_g,effect_category,direction,within_pair_fdr_q_value,within_pair_significant_fdr
Asian,African,eb_thickness_r,571,143,0.015009269436622856,0.015940585540225302,0.0145807880538866,0.0159172043261539,32711.0,0.00023406911293975143,-0.3777948194488882,0.3777948194488882,small,higher_in_African,0.0008866254278020887,True
Asian,African,eb_thickness_l,571,143,0.015256490881157166,0.016237195008806715,0.0150571906238103,0.0160776889059464,32394.0,0.00013194139771477358,-0.37283224905570067,0.37283224905570067,small,higher_in_African,0.0005320217649789257,True
Asian,African,eb_thickness_mean,571,143,0.015132880158890012,0.016088890274516005,0.0151619467144803,0.0161602160658627,28176.0,9.744547713614262e-09,-0.5640752998347109,0.5640752998347109,medium,higher_in_African,4.87227385680713e-08,True
Asian,African,eb_thickness_asym,571,143,0.18753771253456064,0.22670926993956783,0.1537765482085053,0.2228573350233231,35203.0,0.010794151331618554,-0.27912775573929827,0.27912775573929827,small,higher_in_African,0.023671384499163495,True
Asian,African,eb_inter_distance,571,143,0.19393098064644232,0.202216591542269,0.1940452409944149,0.2019535043943998,25462.0,3.2710138936028534e-12,-0.7029115540906705,0.7029115540906705,medium,higher_in_African,2.7258449113357113e-11,True
Asian,African,eb_arch_r,571,143,0.13153365241771256,0.1392981529363101,0.1308134262877024,0.1335111111681216,33783.0,0.0014076541281333032,-0.3450334243178312,0.3450334243178312,small,higher_in_African,0.004291628439430802,True
Asian,African,eb_arch_l,571,143,0.1300323948634269,0.1352582773263664,0.1283632829654562,0.1358745990560405,34641.0,0.0050459367127203315,-0.24219775614692304,0.24219775614692304,small,higher_in_African,0.013140460189375864,True
Asian,African,eb_arch_mean,571,143,0.13078302364056973,0.13727821513133825,0.1309961167650302,0.1377326553671315,32754.0,0.00025261560325349233,-0.3464355722038119,0.3464355722038119,small,higher_in_African,0.0009287338354907806,True
Asian,African,eb_arch_asym,571,143,0.1288775982849466,0.14989922759090854,0.0996920160574269,0.1224112363400429,36166.0,0.0346265426890013,-0.2001678485148882,0.2001678485148882,small,higher_in_African,0.06272924400181394,False
Asian,African,eb_position_r,571,143,0.35098420387110935,0.3680374827925917,0.3478511345320235,0.3659139973699252,35471.0,0.01519112289767752,-0.2324319073675598,0.2324319073675598,small,higher_in_African,0.03218458241033373,True
Asian,African,eb_position_l,571,143,0.354599415539764,0.37164749987602547,0.3546534154062461,0.3688441568750882,35649.0,0.018920650142761022,-0.22989873742129427,0.22989873742129427,small,higher_in_African,0.038771824063034886,True
Asian,African,eb_position_mean,571,143,0.35279180970543667,0.3698424913343086,0.3500951851453064,0.3672744948593647,35518.0,0.016106998315438232,-0.23376581910377417,0.23376581910377417,small,higher_in_African,0.033556246490496315,True
Asian,African,eb_position_asym,571,143,0.048107502769819996,0.04844089658311619,0.0377029108085749,0.0397116492351917,40397.0,0.8457881168072289,-0.007874041223767508,0.007874041223767508,negligible,higher_in_African,0.9273992508851193,False
Asian,African,eb_medial_flare_r,571,143,-0.08411528109522569,-0.09997296045384078,-0.0840595569819175,-0.0952766035651795,46451.0,0.010780125664661319,0.2895682038383477,0.2895682038383477,small,higher_in_Asian,0.023671384499163495,True
Asian,African,eb_medial_flare_l,571,143,-0.08720698428600528,-0.09842459774723625,-0.0863165053854253,-0.1021231795890565,45914.0,0.021094575041297883,0.2207434464907341,0.2207434464907341,small,higher_in_Asian,0.04120034187753493,True
Asian,African,eb_lateral_thickness_r,571,143,0.0009229057960223302,0.0009282791596884389,0.0009033414538489,0.0009193486905308,40020.0,0.7148014122630652,-0.020567961397908896,0.020567961397908896,negligible,higher_in_African,0.8429261937064447,False
Asian,African,eb_lateral_thickness_l,571,143,0.0009487761937367494,0.0009715112558318067,0.0009210126161226,0.0009329068161252,39524.0,0.5549987394533964,-0.08628860789057281,0.08628860789057281,negligible,higher_in_African,0.7226546086632766,False
Asian,African,eb_medial_flare_mean,571,143,-0.08566113269061548,-0.09919877910053851,-0.0858060091438707,-0.0990539770990209,46524.0,0.00979900513925852,0.27003090516767725,0.27003090516767725,small,higher_in_Asian,0.022270466225587544,True
Asian,African,eb_lateral_thickness_mean,571,143,0.0009358409948795388,0.000949895207760123,0.0009354060019627,0.0009360733582243,37194.0,0.09963293701108451,-0.16473586626016828,0.16473586626016828,negligible,higher_in_African,0.1660548950184742,False
Asian,African,eb_lateral_thickness_asym,571,143,0.3969148568795186,0.48006811069082983,0.3250797081080608,0.4237160248523413,34844.0,0.006686797926454033,-0.2760541966284551,0.2760541966284551,small,higher_in_African,0.016389210604054003,True
Asian,African,eye_fissure_length_r,571,143,0.19659443077274896,0.2060107187495451,0.1954520368336376,0.2048474567903742,27645.0,2.2888632597725724e-09,-0.5939596862481075,0.5939596862481075,medium,higher_in_African,1.4305395373578577e-08,True
Asian,African,eye_fissure_height_r,571,143,0.06678802781386818,0.07134435244252858,0.0696309347592603,0.0748302140154858,35983.0,0.028115897095178498,-0.21738716161644756,0.21738716161644756,small,higher_in_African,0.054069032875343266,False
Asian,African,eye_fissure_length_l,571,143,0.19755431524952602,0.2080004320587738,0.1967472021855503,0.2061453158517504,26096.0,2.4202101304138626e-11,-0.6410091977966688,0.6410091977966688,medium,higher_in_African,1.7795662723631343e-10,True
Asian,African,eye_fissure_height_l,571,143,0.06592083620419778,0.06998256989918504,0.0683263593682104,0.0732014382305752,36052.0,0.030434966816840346,-0.19566058566184802,0.19566058566184802,negligible,higher_in_African,0.055946630178015336,False
Asian,African,eye_fissure_length_mean,571,143,0.1970743730111375,0.20700557540415943,0.1966931453065879,0.207146283294597,22897.0,4.3481241341556066e-16,-0.7656645079832831,0.7656645079832831,medium,higher_in_African,6.039061297438343e-15,True
Asian,African,eye_fissure_height_mean,571,143,0.06635443200903299,0.07066346117085681,0.0690404032343087,0.0741153315314137,36040.0,0.030020224353645646,-0.2077555070017052,0.2077555070017052,small,higher_in_African,0.055946630178015336,False
Asian,African,eye_fissure_length_asym,571,143,0.07252318569714847,0.08835453004568043,0.0596419719758627,0.0814830236421404,34878.0,0.0070043354227606386,-0.2821596540943364,0.2821596540943364,small,higher_in_African,0.016837344766251535,True
Asian,African,eye_fissure_height_asym,571,143,0.06370888565656398,0.05829438664853196,0.0349192164776077,0.0411687866454513,38638.0,0.32121162441337303,0.05551962781048398,0.05551962781048398,negligible,higher_in_Asian,0.44579711065389194,False
Asian,African,eye_fissure_slant_r,571,143,4.741706353683784,4.519360432075955,4.924054750718068,4.485665138604218,43389.0,0.2454260007302318,0.0770835621322979,0.0770835621322979,negligible,higher_in_Asian,0.3609205893091644,False
Asian,African,eye_fissure_slant_l,571,143,4.980289485680303,4.8087726076667066,5.219529334985072,4.7276446762894935,43000.0,0.32454029655603334,0.05965317410250674,0.05965317410250674,negligible,higher_in_Asian,0.44579711065389194,False
Asian,African,eye_fissure_slant_mean,571,143,4.860997919682044,4.664066519871331,5.126461017341667,4.662688008339036,42935.0,0.33922302001470206,0.07193234027469297,0.07193234027469297,negligible,higher_in_Asian,0.46090084241128,False
Asian,African,eye_fissure_slant_asym,571,143,1.3451133786598126,1.49926969944322,1.0695112592662248,1.2271274713041027,38375.0,0.2664792106720322,-0.1326857766890029,0.1326857766890029,negligible,higher_in_African,0.3873244341163259,False
Asian,African,eye_fissure_aspect_r,571,143,0.3389523809852399,0.3449928868285944,0.3541707604313897,0.3518803281323435,40323.0,0.8196116116086707,-0.06117455416158349,0.06117455416158349,negligible,higher_in_African,0.9186807316366614,False
Asian,African,eye_fissure_aspect_l,571,143,0.3318510960274454,0.335268832209261,0.3472081183441097,0.3530391554164458,40285.0,0.8062453959232284,-0.03605691066955709,0.03605691066955709,negligible,higher_in_African,0.9161879499127595,False
Asian,African,eye_fissure_aspect_mean,571,143,0.33540173850634264,0.3401308595189277,0.3539172485720145,0.3545455439337188,40224.0,0.7849085143236465,-0.04976983089284462,0.04976983089284462,negligible,higher_in_African,0.9001244430317047,False
Asian,African,inter_canthal_distance,571,143,0.25163929559387865,0.2566756033080781,0.2504446717786783,0.2571841358989558,33018.0,0.0004002723417222388,-0.32323512117277325,0.32323512117277325,small,higher_in_African,0.0013898345198688849,True
Asian,African,inter_pupillary_distance,571,143,0.45115779551624374,0.4748534279778442,0.4514462939257583,0.4769160217448054,19455.0,3.3597716116561813e-22,-1.0222926194671553,1.0222926194671553,large,higher_in_African,2.0998572572851133e-20,True
Asian,African,outer_canthal_distance,571,143,0.6438965685059362,0.6688454411923601,0.642568563273616,0.6670191278333124,21597.0,2.8358408422119423e-18,-0.8528911513728026,0.8528911513728026,large,higher_in_African,5.778528729413068e-17,True
Asian,African,canthal_to_pupillary_ratio,571,143,0.5584819048083773,0.5404602553469873,0.5589087353803793,0.5380942161134635,53856.0,3.4851412224098318e-09,0.5745717128404564,0.5745717128404564,medium,higher_in_Asian,1.980193876369223e-08,True
Asian,African,eye_epicanthus_angle_r,571,143,63.977298596606914,63.70790679418349,65.78660080495564,65.27871327799876,42481.0,0.4533317280611123,0.017260143482939166,0.017260143482939166,negligible,higher_in_Asian,0.6028347447621174,False
Asian,African,eye_epicanthus_angle_l,571,143,60.30783900500874,59.767099391241075,61.86353732132629,62.01125488185475,42025.0,0.5870362282555626,0.038291451788741666,0.038291451788741666,negligible,higher_in_Asian,0.7435791901300551,False
Asian,African,eye_epicanthus_angle_mean,571,143,62.142568800807815,61.73750309271228,64.10303313501618,63.549671913155734,42322.0,0.49790709234438213,0.028110215334198815,0.028110215334198815,negligible,higher_in_Asian,0.6551409109794502,False
Asian,African,eye_epicanthus_angle_asym,571,143,0.1151896046065386,0.11202732446467151,0.0874459821060896,0.0854179636978961,40804.0,0.9920419393876172,0.02611008259266702,0.02611008259266702,negligible,higher_in_Asian,0.9920419393876172,False
Asian,African,eye_upper_lid_to_iris_r,571,143,0.44913616509697657,0.46031771823896006,0.4710256581680716,0.4637937677059919,41536.0,0.7478780866551489,-0.09558305218854947,0.09558305218854947,negligible,higher_in_African,0.8736893535690992,False
Asian,African,eye_lower_lid_to_iris_r,571,143,0.535347860084673,0.5267688224730921,0.5194245053019937,0.5256527263091307,39653.0,0.5948633521040442,0.0778044443421565,0.0778044443421565,negligible,higher_in_Asian,0.7435791901300551,False
Asian,African,eye_upper_lid_to_iris_l,571,143,0.45574946775485353,0.47063432683637607,0.4795984371726358,0.4719968992169286,40886.0,0.978660119293134,-0.10030024264487812,0.10030024264487812,negligible,higher_in_African,0.9865525396100141,False
Asian,African,eye_lower_lid_to_iris_l,571,143,0.5242613963960616,0.5155967723035693,0.51070757223546,0.5169359412926297,39904.0,0.6759426554510163,0.07648245772469585,0.07648245772469585,negligible,higher_in_Asian,0.8046936374416861,False
Asian,African,eye_upper_lid_to_iris_mean,571,143,0.452442816425915,0.46547602253766807,0.4752274078662436,0.46874939245005,41222.0,0.8578743318586166,-0.10266310113435753,0.10266310113435753,negligible,higher_in_African,0.9324720998463224,False
Asian,African,eye_upper_lid_to_iris_asym,571,143,0.014495898739898913,0.05250574010477966,0.0301470852969829,0.0294924450975631,39714.0,0.6141586512984233,-0.11334420731774848,0.11334420731774848,negligible,higher_in_African,0.7526454060029698,False
Asian,African,eye_lower_lid_to_iris_mean,571,143,0.5298046282403673,0.5211827973883306,0.5155254218761933,0.5206132964070271,39791.0,0.6389003945168069,0.08205441858000614,0.08205441858000614,negligible,higher_in_Asian,0.7679091280250083,False
Asian,African,eye_lower_lid_to_iris_asym,571,143,0.041266537741517346,0.03397051959511941,0.0257290969014909,0.0257545755132593,40762.0,0.976852142464461,0.10860761228513514,0.10860761228513514,negligible,higher_in_Asian,0.9865525396100141,False
Asian,African,eye_area_r,571,143,0.008917269440804235,0.009957925140518433,0.0090085433948127,0.010397462991973,33581.0,0.0010210641211165809,-0.32376624854139485,0.32376624854139485,small,higher_in_African,0.003272641413835195,True
Asian,African,eye_area_l,571,143,0.00890669392361415,0.009880358856408507,0.0090184981022471,0.0103250015269337,33724.0,0.0012826853829367591,-0.2982890003670484,0.2982890003670484,small,higher_in_African,0.004008391821677372,True
