syndrome,feature,feature_family,anatomical_region,n_disease,hedges_g,hedges_g_ci_95_low,hedges_g_ci_95_high,mannwhitney_q_fdr_global,cell_status
KBG SYNDROME; KBGS,forehead_height,forehead_height,forehead,32,0.4034441697321366,0.030588571155734,0.8083556272967265,0.2067259123764837,tested_nonsignificant
KBG SYNDROME; KBGS,hairline_height,hairline_height,forehead,32,0.4034441697321366,0.0019315693774185,0.7580987770127916,0.2067259123764837,tested_nonsignificant
KBG SYNDROME; KBGS,nose_ala_height_mean,nose_ala_height,nose,32,0.1413694922279494,-0.2416235820860997,0.5298577266782215,0.7015435873224831,tested_nonsignificant
Kabuki syndrome,chin_width,chin_width,chin / jaw,35,-0.9404694334062448,-1.2695041266267155,-0.5784904654572014,2.872066947086307e-06,significant
Kabuki syndrome,face_triangularity,face_triangularity,global face shape / proportions,35,0.929810565729683,0.5252332124802915,1.3070251870060632,1.233681835772205e-05,significant
Kabuki syndrome,inter_canthal_distance,inter_canthal_distance,eyes / orbital dimensions,35,0.9804057520934378,0.650843323350154,1.3509630506498254,7.797215217525661e-05,significant
Kabuki syndrome,eb_thickness_mean,eb_thickness,eyebrows,35,0.7245948112277858,0.367772719000129,1.0966578117046597,0.0011118525731708,significant
Kabuki syndrome,inter_pupillary_distance,inter_pupillary_distance,ocular position / iris / gaze,35,0.7553117949034381,0.4288246292452597,1.0849901699036155,0.0018770683713479,significant
Kabuki syndrome,forehead_height,forehead_height,forehead,35,0.6528076222905359,0.2735155663494871,0.9819428678109684,0.0087583547957463,significant
Kabuki syndrome,hairline_height,hairline_height,forehead,35,0.6528076222905359,0.2791894638821544,1.0405171809678095,0.0087583547957463,significant
Kabuki syndrome,malar_bulge_mean,malar_bulge,cheeks / malar region,35,-0.6783648378027771,-1.0811741764259435,-0.2851876766070607,0.0128201900273823,significant
Kabuki syndrome,nose_ala_height_mean,nose_ala_height,nose,35,0.5109446309753478,0.1617279753482036,0.8726048247865177,0.0492338794037444,significant
Kabuki syndrome,forehead_width_mid,forehead_width_mid,forehead,35,0.4744520295350124,0.1087344131835941,0.8706824649742695,0.0544835400156695,tested_nonsignificant
Kabuki syndrome,philtrum_width,philtrum_width,philtrum / mouth / lips,35,-0.2103297864047865,-0.513849699752408,0.13397089143858,0.4249006116256553,tested_nonsignificant
Kabuki syndrome,philtrum_length,philtrum_length,philtrum / mouth / lips,35,0.2344971711385381,-0.0863723232969082,0.6165463147442838,0.4883625060525189,tested_nonsignificant
Mucopolysaccharidoses,philtrum_length,philtrum_length,philtrum / mouth / lips,37,0.835842313214958,0.494621131786145,1.2244884348537464,0.0004555494542819,significant
Mucopolysaccharidoses,philtrum_width,philtrum_width,philtrum / mouth / lips,37,-0.4152688492022956,-0.7748136784809285,-0.0137736366829685,0.0188274864358269,significant
Mucopolysaccharidoses,nose_ala_height_mean,nose_ala_height,nose,37,0.4720881495545127,0.1816312392006805,0.8337580420612227,0.0572798030627091,tested_nonsignificant
Mucopolysaccharidoses,eb_thickness_mean,eb_thickness,eyebrows,37,0.5374763294818241,0.1692852298136631,0.901191220707581,0.0744213794746654,tested_nonsignificant
Mucopolysaccharidoses,malar_bulge_mean,malar_bulge,cheeks / malar region,37,-0.4390396279167403,-0.8205806379509848,-0.0808954193059085,0.0926944406899381,tested_nonsignificant
Mucopolysaccharidoses,inter_pupillary_distance,inter_pupillary_distance,ocular position / iris / gaze,37,0.3751326259215015,0.0094160437309761,0.7953884718522373,0.1843209504768543,tested_nonsignificant
Mucopolysaccharidoses,chin_width,chin_width,chin / jaw,37,0.2088608594479843,-0.090193119531777,0.4905170812849789,0.2724927985439422,tested_nonsignificant
Mucopolysaccharidoses,forehead_width_mid,forehead_width_mid,forehead,37,0.2127103462360384,-0.1184174106239504,0.5518732505228331,0.3595411784960729,tested_nonsignificant
Mucopolysaccharidoses,inter_canthal_distance,inter_canthal_distance,eyes / orbital dimensions,37,0.2980171375602872,-0.1162228445237788,0.7625688882974652,0.4135495487098556,tested_nonsignificant
