shortlist_rank,demographic_layer,syndrome,feature,group,n_disease,n_healthy_matched,hedges_g,hedges_g_ci_lower,hedges_g_ci_upper,global_fdr_q_value,within_group_fdr_q_value,evidence_level,global_significant_fdr,direction_agrees_with_pooled
2,detailed,Cornelia de Lange syndrome,philtrum_length,Latino/Hispanic,21.0,137.0,1.4386590753594637,0.919539950565042,1.9906598341261983,0.0018411439173083,3.321456841392598e-05,primary,True,True
2,detailed,Cornelia de Lange syndrome,philtrum_length,Middle Eastern,3.0,122.0,0.6788940794077031,-0.090351743623963,1.8540646149399176,0.6761733298810457,0.8160411353382466,insufficient,False,True
2,detailed,Cornelia de Lange syndrome,philtrum_length,South Asian,4.0,133.0,0.5881386372872174,-0.7175075651812671,1.815920185028579,0.7118523902119275,0.9821804196731232,insufficient,False,True
3,detailed,WILLIAMS-BEUREN SYNDROME; WBS,outer_canthal_distance,African,14.0,136.0,1.346851909971312,0.8055365741547821,1.9619608806963165,0.0159767467790426,0.0004612344956832,moderate,True,True
3,detailed,WILLIAMS-BEUREN SYNDROME; WBS,outer_canthal_distance,East Asian,4.0,140.0,0.1210977507065319,-0.9850553804602532,1.28182938316965,0.9681850296953712,1.0,insufficient,False,True
3,detailed,WILLIAMS-BEUREN SYNDROME; WBS,outer_canthal_distance,European,7.0,137.0,1.2894555055392936,0.326140395758923,2.238570647574454,0.1260039029175374,0.110815240573234,exploratory,False,True
3,detailed,WILLIAMS-BEUREN SYNDROME; WBS,outer_canthal_distance,Latino/Hispanic,15.0,137.0,0.945808075307742,0.4543382686250228,1.5233998270693512,0.0617471863478134,0.0110130338343268,moderate,False,True
3,detailed,WILLIAMS-BEUREN SYNDROME; WBS,outer_canthal_distance,Middle Eastern,3.0,122.0,1.5242823683822992,0.7024061087069551,2.3659958604494347,0.2406266296749959,0.3902586469527798,insufficient,False,True
3,detailed,WILLIAMS-BEUREN SYNDROME; WBS,outer_canthal_distance,SE Asian,3.0,137.0,1.0118343066140518,0.5047564323006857,1.5757532185282206,0.3129491495189479,0.1770982282496983,insufficient,False,True
3,detailed,WILLIAMS-BEUREN SYNDROME; WBS,outer_canthal_distance,South Asian,15.0,133.0,1.171524160533131,0.5716979482889295,1.807037986539959,0.0440673949016733,0.0021558980245908,moderate,True,True
4,detailed,Cornelia de Lange syndrome,philtrum_width,African,2.0,136.0,-0.2445873671162158,-0.5056209717050517,0.0262357419537248,0.9093312688602788,1.0,insufficient,False,True
4,detailed,Cornelia de Lange syndrome,philtrum_width,East Asian,2.0,140.0,-0.7500200268692024,-0.9883303878503,-0.5488464010033433,0.5997786321302493,0.723117614102748,insufficient,False,True
4,detailed,Cornelia de Lange syndrome,philtrum_width,European,29.0,137.0,-1.3413222746911886,-1.7023958156130856,-1.0441042466146344,1.0387822978306912e-05,3.971793927898893e-08,primary,True,True
4,detailed,Cornelia de Lange syndrome,philtrum_width,Latino/Hispanic,21.0,137.0,-0.5198105212747337,-0.8663350088828159,-0.1706557137698789,0.2126116938368309,0.0558106157213683,primary,False,True
4,detailed,Cornelia de Lange syndrome,philtrum_width,Middle Eastern,3.0,122.0,-0.2801300922764636,-1.0208600451836964,0.4198759803369635,0.8801165613214655,0.9029215766365144,insufficient,False,True
4,detailed,Cornelia de Lange syndrome,philtrum_width,South Asian,4.0,133.0,-0.7526399979470827,-1.8762400415669769,0.357536169641498,0.6437556407243041,0.9044960541503164,insufficient,False,True
5,detailed,Noonan syndrome,inter_pupillary_distance,African,6.0,136.0,1.9058922910826244,0.9906356445660672,2.8999079106049597,0.0569431899423491,0.0156457925225409,exploratory,False,True
5,detailed,Noonan syndrome,inter_pupillary_distance,East Asian,2.0,140.0,0.7935823145199763,0.0736964187221019,1.6309052596018156,0.5597889123457048,0.5401035605020525,insufficient,False,True
5,detailed,Noonan syndrome,inter_pupillary_distance,European,9.0,137.0,1.1650690162342594,0.5395434517351182,2.0311685327001956,0.0744179866819164,0.1007604452434157,exploratory,False,True
5,detailed,Noonan syndrome,inter_pupillary_distance,Latino/Hispanic,2.0,137.0,1.888129286253409,1.1865907393644026,2.792422881198734,0.1472199117925376,0.1368470441038473,insufficient,False,True
5,detailed,Noonan syndrome,inter_pupillary_distance,SE Asian,2.0,137.0,3.7619922030488313,2.456110583708131,5.4429496513277025,0.0375740110963957,0.0104264414555312,insufficient,True,True
5,detailed,Noonan syndrome,inter_pupillary_distance,South Asian,2.0,133.0,2.141838997297409,1.6971357591087732,2.7026384400654364,0.078387134096957,0.0414593698175787,insufficient,False,True
6,detailed,Mucopolysaccharidoses,chin_pointedness_angle,African,2.0,136.0,0.8816222575702188,0.409677336446646,1.391427403830164,0.5160430272355181,0.4735278911148726,insufficient,False,True
6,detailed,Mucopolysaccharidoses,chin_pointedness_angle,European,11.0,137.0,1.3920837297816513,0.8365046442614653,1.9189694858084765,0.0209288952773539,0.0122020865454683,moderate,True,True
6,detailed,Mucopolysaccharidoses,chin_pointedness_angle,Latino/Hispanic,3.0,137.0,1.3037222217158082,0.0227361034248048,2.3876856608491788,0.387424646671179,0.6761853943954809,insufficient,False,True
6,detailed,Mucopolysaccharidoses,chin_pointedness_angle,Middle Eastern,3.0,122.0,1.3859371158994742,-0.2156281303186119,2.516968974157563,0.423777188407017,0.4823666499865175,insufficient,False,True
7,detailed,Noonan syndrome,nose_bridge_width,African,6.0,136.0,1.598933469128495,0.4411978464201994,2.587276842402479,0.1269602594278647,0.0301353633564031,exploratory,False,True
7,detailed,Noonan syndrome,nose_bridge_width,East Asian,2.0,140.0,0.3594794985386537,-0.3673444484887445,1.1829398088574343,0.8110864472193089,0.7525812515324054,insufficient,False,True
7,detailed,Noonan syndrome,nose_bridge_width,European,9.0,137.0,0.8652774163141205,0.3567335365796044,1.528876509405248,0.1443040242153353,0.1263515994842762,exploratory,False,True
7,detailed,Noonan syndrome,nose_bridge_width,Latino/Hispanic,2.0,137.0,2.246303073537134,1.513313495047017,3.208653470377867,0.1000898821583445,0.1368470441038473,insufficient,False,True
7,detailed,Noonan syndrome,nose_bridge_width,SE Asian,2.0,137.0,2.7728350871144896,2.056650789493899,3.663741824341496,0.0634483301148719,0.0223423745475669,insufficient,False,True
7,detailed,Noonan syndrome,nose_bridge_width,South Asian,2.0,133.0,2.225649700897625,1.7350566347874397,2.8115432541749947,0.078387134096957,0.0414593698175787,insufficient,False,True
8,detailed,KBG SYNDROME; KBGS,jaw_bigonial_width,European,24.0,137.0,-1.7151135097404069,-2.254913967939051,-1.2670549040372845,1.0387822978306912e-05,7.666290020890712e-08,primary,True,True
8,detailed,KBG SYNDROME; KBGS,jaw_bigonial_width,Latino/Hispanic,3.0,137.0,-1.1780750035260756,-2.672657469157331,0.7671848241071528,0.5664015664632498,0.9005251915130059,insufficient,False,True
8,detailed,KBG SYNDROME; KBGS,jaw_bigonial_width,Middle Eastern,2.0,122.0,-2.8912616051041296,-3.3456310889414937,-2.5418416160049575,0.2117040590303381,0.4134272050361713,insufficient,False,True
9,detailed,WIEDEMANN-STEINER SYNDROME; WDSTS,inter_canthal_distance,East Asian,2.0,140.0,2.963560380020149,1.820799881414784,4.354759659597719,0.0634483301148719,0.0249725302167615,insufficient,False,True
9,detailed,WIEDEMANN-STEINER SYNDROME; WDSTS,inter_canthal_distance,European,2.0,137.0,1.7111457277995838,1.2588504219001082,2.198244000553814,0.1699021738988061,0.955441180652316,insufficient,False,True
9,detailed,WIEDEMANN-STEINER SYNDROME; WDSTS,inter_canthal_distance,Middle Eastern,3.0,122.0,1.0801511551227856,0.6008209828089076,1.5713944866058094,0.2922131298816239,0.7031284434797942,insufficient,False,True
10,detailed,Kabuki syndrome,outer_canthal_distance,East Asian,16.0,140.0,1.7577973060273944,1.2532707120764015,2.409562880308175,0.0006972363624944,2.4441865105892713e-05,moderate,True,True
10,detailed,Kabuki syndrome,outer_canthal_distance,European,13.0,137.0,1.5212706210047515,0.9918712719383084,2.1963390763124853,0.0041390146454034,0.0012218493418165,moderate,True,True
10,detailed,Kabuki syndrome,outer_canthal_distance,Middle Eastern,2.0,122.0,0.585021790428511,0.3712581283605412,0.8437987577061369,0.6630865294056664,0.8457634204738997,insufficient,False,True
11,detailed,Holoprosencephaly,mouth_opening,,,,,,,,,,,False
12,detailed,Coffin-Siris syndrome,philtrum_length,East Asian,3.0,140.0,-0.5065121162301209,-1.227826996924611,0.6226964216165295,0.6765877408685251,0.6929624376748329,insufficient,False,False
