review_rank,syndrome,feature,anatomical_region,feature_family,candidate_tier,n_disease,n_healthy,mean_disease,median_disease,mean_healthy,median_healthy,hedges_g,hedges_g_ci_95_low,hedges_g_ci_95_high,global_q,cliffs_delta,rank_biserial,effect_direction_bootstrap_stability,hedges_g_alternative,hedges_g_ci_95_low_alternative,hedges_g_ci_95_high_alternative,alternative_global_q,both_selections_significant,effect_direction_agrees,absolute_change_hedges_g,both_confidence_intervals_exclude_zero,interpretability_flag,editorial_rank_score,literature_status,clinical_interpretation,literature_search_terms
13,WILLIAMS-BEUREN SYNDROME; WBS,outer_canthal_distance,eyes / orbital dimensions,outer_canthal_distance,primary_candidate,67,942,0.6795766255824665,0.6847856271978616,0.646208071321148,0.6447895676793544,1.1052085163812075,0.8245776659677804,1.3954665071160337,5.893184793100345e-11,0.5429223310200589,0.542922331020059,1.0,1.1052085163812075,0.8245776659677804,1.3954665071160337,5.893184793100345e-11,True,True,0.0,True,True,14.105208516381207,unreviewed,TBD,TBD
14,WILLIAMS-BEUREN SYNDROME; WBS,face_triangularity,global face shape / proportions,face_triangularity,primary_candidate,67,942,0.5908318905474568,0.5986426412395768,0.5543925309280083,0.5577225634872556,1.0891849842689283,0.8749883202022392,1.319565809124407,3.328887566118078e-12,0.5741673796621986,0.5741673796621987,1.0,1.0891849842689283,0.8749883202022392,1.319565809124407,2.912776620353319e-12,True,True,0.0,True,True,14.089184984268929,unreviewed,TBD,TBD
15,WILLIAMS-BEUREN SYNDROME; WBS,nose_tip_width,nose,nose_tip_width,primary_candidate,67,942,0.2935299830733407,0.290693169184246,0.2693452136193673,0.2674081135068349,1.0845140803978288,0.8104276312119989,1.3996927156269792,4.989199845307651e-09,0.4943435687803023,0.4943435687803024,1.0,1.0845140803978288,0.8104276312119989,1.3996927156269792,4.989199845307651e-09,True,True,0.0,True,True,14.08451408039783,unreviewed,TBD,TBD
16,WILLIAMS-BEUREN SYNDROME; WBS,philtrum_length,philtrum / mouth / lips,philtrum_length,primary_candidate,67,942,0.3337672327573713,0.3266029978366343,0.2848302841731749,0.2838415889614529,0.9791198380998803,0.7014582164828146,1.2931857361428625,8.117781110872769e-07,0.4276388756852679,0.427638875685268,1.0,0.9791198380998803,0.7014582164828146,1.2931857361428625,8.349717714040562e-07,True,True,0.0,True,True,13.97911983809988,unreviewed,TBD,TBD
17,WILLIAMS-BEUREN SYNDROME; WBS,eb_thickness_r,eyebrows,eb_thickness,primary_candidate,67,942,0.017576557978166,0.0177044889549439,0.0150932583810383,0.014768934739781,0.9761077736915524,0.7328415333715574,1.2564624436637497,1.6324718826263906e-09,0.5089837437018728,0.5089837437018727,1.0,0.9761077736915524,0.7328415333715574,1.2564624436637497,1.6324718826263906e-09,True,True,0.0,True,True,13.976107773691552,unreviewed,TBD,TBD
18,WILLIAMS-BEUREN SYNDROME; WBS,eye_fissure_length_mean,eyes / orbital dimensions,eye_fissure_length,primary_candidate,67,942,0.2104429061482564,0.2094142371976472,0.1980201839698835,0.1977349209832613,0.9610817029163916,0.6719213798792185,1.2458445655484265,2.439808703541836e-08,0.4759958170928795,0.4759958170928795,1.0,0.9610817029163916,0.6719213798792185,1.2458445655484265,2.311397719144897e-08,True,True,0.0,True,True,13.961081702916392,unreviewed,TBD,TBD
19,Cornelia de Lange syndrome,philtrum_width,philtrum / mouth / lips,philtrum_width,primary_candidate,64,942,0.285337685736542,0.2837071788563567,0.3008337242395867,0.2986240588266514,-1.0102511688045703,-1.2181727529013966,-0.8163757979334318,8.622968776293074e-12,-0.5742436305732485,-0.5742436305732483,1.0,-1.0394083593579828,-1.2438412682418407,-0.8452865486497055,7.991573930513238e-13,True,True,0.029157190553412482,True,True,13.951936787697745,unreviewed,TBD,TBD
20,WILLIAMS-BEUREN SYNDROME; WBS,jaw_bigonial_width,chin / jaw,jaw_bigonial_width,primary_candidate,67,942,0.7700152754530506,0.7713754218261114,0.7939531567265726,0.7939190905288416,-0.949337567544445,-1.194863881170352,-0.7065314657192696,1.9273408465084276e-09,-0.5064486484773584,-0.5064486484773585,1.0,-0.949337567544445,-1.194863881170352,-0.7065314657192696,1.9273408465084276e-09,True,True,0.0,True,True,13.949337567544445,unreviewed,TBD,TBD
21,WILLIAMS-BEUREN SYNDROME; WBS,face_aspect_ratio,global face shape / proportions,face_aspect_ratio,primary_candidate,67,942,0.8640843390752784,0.8635275837439385,0.9118919075650824,0.9107374094176942,-0.9361683325318954,-1.207697822533076,-0.6668054618117207,1.7506383524426736e-08,-0.4802421015939411,-0.4802421015939411,1.0,-0.9361683325318954,-1.207697822533076,-0.6668054618117207,1.6533806661958586e-08,True,True,0.0,True,True,13.936168332531896,unreviewed,TBD,TBD
22,WILLIAMS-BEUREN SYNDROME; WBS,eye_area_mean,eyes / orbital dimensions,eye_area,primary_candidate,67,942,0.0118002410844705,0.0117664125054618,0.0088627570904448,0.0090304261487637,0.9140277580830704,0.6449276974461192,1.172697894869144,7.872663558970672e-08,0.4617992838355991,0.4617992838355991,1.0,0.9140277580830704,0.6449276974461192,1.172697894869144,7.497774818067305e-08,True,True,0.0,True,True,13.914027758083071,unreviewed,TBD,TBD
