shortlist_rank,demographic_layer,syndrome,feature,group_1,group_2,n_healthy_group_1,n_healthy_group_2,n_disease_group_1,n_disease_group_2,evidence_level,interaction_beta_group2_minus_group1,interaction_ci_lower,interaction_ci_upper,global_fdr_q_value,hedges_g_group_1,hedges_g_group_2,delta_hedges_g_group2_minus_group1,high_confidence_interaction
4,broad,Cornelia de Lange syndrome,philtrum_width,Others,European,137,137,21,29,primary,-0.0113547243941817,-0.0182389122584995,-0.004470536529864,0.0341394820802955,-0.5198105212747337,-1.3413222746911886,-0.8215117534164549,True
4,detailed,Cornelia de Lange syndrome,philtrum_width,Latino/Hispanic,European,137,137,21,29,primary,-0.0113547243941817,-0.0182389122584995,-0.004470536529864,0.0334378010256807,-0.5198105212747337,-1.3413222746911886,-0.8215117534164549,True
