anatomical_region,total_tested_comparisons,number_significant,number_significant_large,eligible_syndromes,fraction_significant,fraction_significant_large
global face shape / proportions,294,50,30,49,0.17006802721088435,0.10204081632653061
philtrum / mouth / lips,882,110,59,49,0.12471655328798185,0.06689342403628118
nose,882,128,56,49,0.14512471655328799,0.06349206349206349
forehead,245,74,54,49,0.3020408163265306,0.22040816326530613
ocular position / iris / gaze,784,100,30,49,0.12755102040816327,0.03826530612244898
cheeks / malar region,392,27,9,49,0.06887755102040816,0.02295918367346939
chin / jaw,245,66,46,49,0.2693877551020408,0.18775510204081633
eyes / orbital dimensions,1421,148,52,49,0.10415200562983815,0.036593947923997186
eyebrows,980,108,43,49,0.11020408163265306,0.04387755102040816
