syndrome,anatomical_region,total_tested_comparisons,number_significant,number_significant_large,eligible_syndromes,fraction_significant,fraction_significant_large
PITT-HOPKINS SYNDROME; PTHS,nose,18,0,0,1,0.0,0.0
RAHMAN SYNDROME; RMNS,chin / jaw,5,1,1,1,0.2,0.2
RAHMAN SYNDROME; RMNS,forehead,5,1,1,1,0.2,0.2
RAHMAN SYNDROME; RMNS,global face shape / proportions,6,1,1,1,0.16666666666666666,0.16666666666666666
RAHMAN SYNDROME; RMNS,nose,18,1,1,1,0.05555555555555555,0.05555555555555555
RAHMAN SYNDROME; RMNS,eyebrows,20,0,0,1,0.0,0.0
RAHMAN SYNDROME; RMNS,ocular position / iris / gaze,16,0,0,1,0.0,0.0
RAHMAN SYNDROME; RMNS,philtrum / mouth / lips,18,0,0,1,0.0,0.0
RAHMAN SYNDROME; RMNS,eyes / orbital dimensions,29,0,0,1,0.0,0.0
RAHMAN SYNDROME; RMNS,cheeks / malar region,8,0,0,1,0.0,0.0
Rubinstein-Taybi syndrome,chin / jaw,5,3,1,1,0.6,0.2
Rubinstein-Taybi syndrome,eyes / orbital dimensions,29,2,1,1,0.06896551724137931,0.034482758620689655
Rubinstein-Taybi syndrome,global face shape / proportions,6,3,1,1,0.5,0.16666666666666666
Rubinstein-Taybi syndrome,ocular position / iris / gaze,16,5,3,1,0.3125,0.1875
Rubinstein-Taybi syndrome,cheeks / malar region,8,2,1,1,0.25,0.125
Rubinstein-Taybi syndrome,forehead,5,2,2,1,0.4,0.4
Rubinstein-Taybi syndrome,philtrum / mouth / lips,18,7,4,1,0.3888888888888889,0.2222222222222222
Rubinstein-Taybi syndrome,eyebrows,20,3,0,1,0.15,0.0
Rubinstein-Taybi syndrome,nose,18,2,0,1,0.1111111111111111,0.0
SMITH-MAGENIS SYNDROME; SMS,forehead,5,2,2,1,0.4,0.4
SMITH-MAGENIS SYNDROME; SMS,eyebrows,20,3,0,1,0.15,0.0
SMITH-MAGENIS SYNDROME; SMS,ocular position / iris / gaze,16,1,0,1,0.0625,0.0
SMITH-MAGENIS SYNDROME; SMS,eyes / orbital dimensions,29,0,0,1,0.0,0.0
SMITH-MAGENIS SYNDROME; SMS,philtrum / mouth / lips,18,0,0,1,0.0,0.0
SMITH-MAGENIS SYNDROME; SMS,nose,18,0,0,1,0.0,0.0
SMITH-MAGENIS SYNDROME; SMS,chin / jaw,5,0,0,1,0.0,0.0
SMITH-MAGENIS SYNDROME; SMS,global face shape / proportions,6,0,0,1,0.0,0.0
SMITH-MAGENIS SYNDROME; SMS,cheeks / malar region,8,0,0,1,0.0,0.0
SOTOS SYNDROME; SOTOS,global face shape / proportions,6,2,1,1,0.3333333333333333,0.16666666666666666
SOTOS SYNDROME; SOTOS,chin / jaw,5,4,3,1,0.8,0.6
SOTOS SYNDROME; SOTOS,forehead,5,4,2,1,0.8,0.4
SOTOS SYNDROME; SOTOS,nose,18,6,1,1,0.3333333333333333,0.05555555555555555
SOTOS SYNDROME; SOTOS,ocular position / iris / gaze,16,3,0,1,0.1875,0.0
SOTOS SYNDROME; SOTOS,eyebrows,20,4,3,1,0.2,0.15
SOTOS SYNDROME; SOTOS,eyes / orbital dimensions,29,15,0,1,0.5172413793103449,0.0
SOTOS SYNDROME; SOTOS,philtrum / mouth / lips,18,3,0,1,0.16666666666666666,0.0
SOTOS SYNDROME; SOTOS,cheeks / malar region,8,0,0,1,0.0,0.0
WHITE-SUTTON SYNDROME; WHSUS,global face shape / proportions,6,2,1,1,0.3333333333333333,0.16666666666666666
WHITE-SUTTON SYNDROME; WHSUS,chin / jaw,5,2,2,1,0.4,0.4
WHITE-SUTTON SYNDROME; WHSUS,nose,18,0,0,1,0.0,0.0
WHITE-SUTTON SYNDROME; WHSUS,eyes / orbital dimensions,29,0,0,1,0.0,0.0
WHITE-SUTTON SYNDROME; WHSUS,cheeks / malar region,8,0,0,1,0.0,0.0
WHITE-SUTTON SYNDROME; WHSUS,forehead,5,0,0,1,0.0,0.0
WHITE-SUTTON SYNDROME; WHSUS,philtrum / mouth / lips,18,0,0,1,0.0,0.0
WHITE-SUTTON SYNDROME; WHSUS,eyebrows,20,0,0,1,0.0,0.0
WHITE-SUTTON SYNDROME; WHSUS,ocular position / iris / gaze,16,0,0,1,0.0,0.0
WIEDEMANN-STEINER SYNDROME; WDSTS,eyes / orbital dimensions,29,3,2,1,0.10344827586206896,0.06896551724137931
WIEDEMANN-STEINER SYNDROME; WDSTS,eyebrows,20,3,3,1,0.15,0.15
WIEDEMANN-STEINER SYNDROME; WDSTS,nose,18,3,3,1,0.16666666666666666,0.16666666666666666
WIEDEMANN-STEINER SYNDROME; WDSTS,cheeks / malar region,8,2,1,1,0.25,0.125
WIEDEMANN-STEINER SYNDROME; WDSTS,philtrum / mouth / lips,18,1,1,1,0.05555555555555555,0.05555555555555555
WIEDEMANN-STEINER SYNDROME; WDSTS,ocular position / iris / gaze,16,0,0,1,0.0,0.0
WIEDEMANN-STEINER SYNDROME; WDSTS,global face shape / proportions,6,0,0,1,0.0,0.0
